text,Anonymized_Text,Deanonymized_Text,Masked_Text
The food was just like the ones my mother made. Prices were reasonable.,The food was just like the ones my mother made. Prices were reasonable.,The food was just like the ones my mother made. Prices were reasonable.,The food was just like the ones my mother made. Prices were reasonable.
The ambiance of the place is nice; when we went; there was a lot of queue; and after waiting for a while; they took our place. The friend who took our order said half a half pizza and we preferred half chicken and half steak. Two people were easily satisfied; a lot of patterns.,The ambiance of the place is nice; when we went; there was a lot of queue; and after waiting for a while; they took our place. The friend who took our order said half a half pizza and we preferred half chicken and half steak. Two people were easily satisfied; a lot of patterns.,The ambiance of the place is nice; when we went; there was a lot of queue; and after waiting for a while; they took our place. The friend who took our order said half a half pizza and we preferred half chicken and half steak. Two people were easily satisfied; a lot of patterns.,The ambiance of the place is nice; when we went; there was a lot of queue; and after waiting for a while; they took our place. The friend who took our order said half a half pizza and we preferred half chicken and half steak. Two people were easily satisfied; a lot of patterns.
"Flavor : It has nothing but dough taste. Labor : Not befitting a touristic place. Service : There was no wet wipes and napkins on the table, but there was no sympathetic family to say. This service and this taste were not available at this price.","Flavor : It has nothing but dough taste. Labor : Not befitting a touristic place. Service : There was no wet wipes and napkins on the table, but there was no sympathetic family to say. This service and this taste were not available at this price.","Flavor : It has nothing but dough taste. Labor : Not befitting a touristic place. Service : There was no wet wipes and napkins on the table, but there was no sympathetic family to say. This service and this taste were not available at this price.","Flavor : It has nothing but dough taste. Labor : Not befitting a touristic place. Service : There was no wet wipes and napkins on the table, but there was no sympathetic family to say. This service and this taste were not available at this price."
It is in the center; easy to reach; close to the parking lot; the prices are partially affordable; the products are delicious but not quite satisfying; the seating places are cramped; the place is a little flat.,It is in the center; easy to reach; close to the parking lot; the prices are partially affordable; the products are delicious but not quite satisfying; the seating places are cramped; the place is a little flat.,It is in the center; easy to reach; close to the parking lot; the prices are partially affordable; the products are delicious but not quite satisfying; the seating places are cramped; the place is a little flat.,It is in the center; easy to reach; close to the parking lot; the prices are partially affordable; the products are delicious but not quite satisfying; the seating places are cramped; the place is a little flat.
They make delicious pizza with nice ingredients on thin dough. Slice pizza and all pizza options are available. You can try two different flavors as a whole by making two different choices for the whole pizza. We wanted the mushroom and sausage. It was very nice; warm; and it was cooked in its consistency without drying the ingredients.,They make delicious pizza with nice ingredients on thin dough. Slice pizza and all pizza options are available. You can try two different flavors as a whole by making two different choices for the whole pizza. We wanted the mushroom and sausage. It was very nice; warm; and it was cooked in its consistency without drying the ingredients.,They make delicious pizza with nice ingredients on thin dough. Slice pizza and all pizza options are available. You can try two different flavors as a whole by making two different choices for the whole pizza. We wanted the mushroom and sausage. It was very nice; warm; and it was cooked in its consistency without drying the ingredients.,They make delicious pizza with nice ingredients on thin dough. Slice pizza and all pizza options are available. You can try two different flavors as a whole by making two different choices for the whole pizza. We wanted the mushroom and sausage. It was very nice; warm; and it was cooked in its consistency without drying the ingredients.
It's in a nice place but it's very small and their pizza is not that good to be exaggerated. Pizza dough is nice and thin. They do not offer advice to the customer.,It's in a nice place but it's very small and their pizza is not that good to be exaggerated. Pizza dough is nice and thin. They do not offer advice to the customer.,It's in a nice place but it's very small and their pizza is not that good to be exaggerated. Pizza dough is nice and thin. They do not offer advice to the customer.,It's in a nice place but it's very small and their pizza is not that good to be exaggerated. Pizza dough is nice and thin. They do not offer advice to the customer.
I strongly recommend. If I come to the taste part; it was very enjoyable to eat with their special sauces. Also the whole pizza was huge.,I strongly recommend. If I come to the taste part; it was very enjoyable to eat with their special sauces. Also the whole pizza was huge.,I strongly recommend. If I come to the taste part; it was very enjoyable to eat with their special sauces. Also the whole pizza was huge.,I strongly recommend. If I come to the taste part; it was very enjoyable to eat with their special sauces. Also the whole pizza was huge.
It is very tasty; similar to Italian pizzas. Roast beef and mohair 180 TL; other pizzas 150 TL. An adult male eats 6 slices; pizzas are one size and 8 slices.,It is very tasty; similar to Italian pizzas. Roast beef and mohair 180 TL; other pizzas 150 TL. An adult male eats 6 slices; pizzas are one size and 8 slices.,It is very tasty; similar to Italian pizzas. Roast beef and mohair 180 TL; other pizzas 150 TL. An adult male eats 6 slices; pizzas are one size and 8 slices.,It is very tasty; similar to Italian pizzas. Roast beef and mohair 180 TL; other pizzas 150 TL. An adult male eats 6 slices; pizzas are one size and 8 slices.
Do not come around Marmaris and do not leave without eating pizza at Pizza Fellas. We ate mixed pizza; they can make two types of pizza. So delicious!,Do not come around Marmaris and do not leave without eating pizza at Pizza Fellas. We ate mixed pizza; they can make two types of pizza. So delicious!,Do not come around Marmaris and do not leave without eating pizza at Pizza Fellas. We ate mixed pizza; they can make two types of pizza. So delicious!,Do not come around Marmaris and do not leave without eating pizza at Pizza Fellas. We ate mixed pizza; they can make two types of pizza. So delicious!
I never thought that the best pizza I've ever eaten would be in Akyaka. Thin pizzas are very tasty and the options are very good. We recommend it to everyone who comes to Akyaka.,I never thought that the best pizza I've ever eaten would be in Akyaka. Thin pizzas are very tasty and the options are very good. We recommend it to everyone who comes to Akyaka.,I never thought that the best pizza I've ever eaten would be in Akyaka. Thin pizzas are very tasty and the options are very good. We recommend it to everyone who comes to Akyaka.,I never thought that the best pizza I've ever eaten would be in Akyaka. Thin pizzas are very tasty and the options are very good. We recommend it to everyone who comes to Akyaka.
It was as if a very delicious Italian chef had come out of his hands. You can eat with pleasure. The owners are very good people. I recommend.,It was as if a very delicious Italian chef had come out of his hands. You can eat with pleasure. The owners are very good people. I recommend.,It was as if a very delicious Italian chef had come out of his hands. You can eat with pleasure. The owners are very good people. I recommend.,It was as if a very delicious Italian chef had come out of his hands. You can eat with pleasure. The owners are very good people. I recommend.
The pizza is big enough for 2 people. The dough is very thin. Price is between 120-140 TL.,The pizza is big enough for 2 people. The dough is very thin. Price is between 120-140 TL.,The pizza is big enough for 2 people. The dough is very thin. Price is between 120-140 TL.,The pizza is big enough for 2 people. The dough is very thin. Price is between 120-140 TL.
The environment; the interest and friendliness of the employees; the taste is incredible. It is so beautiful inside that you do not prefer to sit at the bottom of the sea. Depending on the day; there are also things that are not written on the menu; be sure to check it out. Hours have passed since the meal; we are still talking about the beef brisket.,The environment; the interest and friendliness of the employees; the taste is incredible. It is so beautiful inside that you do not prefer to sit at the bottom of the sea. Depending on the day; there are also things that are not written on the menu; be sure to check it out. Hours have passed since the meal; we are still talking about the beef brisket.,The environment; the interest and friendliness of the employees; the taste is incredible. It is so beautiful inside that you do not prefer to sit at the bottom of the sea. Depending on the day; there are also things that are not written on the menu; be sure to check it out. Hours have passed since the meal; we are still talking about the beef brisket.,The environment; the interest and friendliness of the employees; the taste is incredible. It is so beautiful inside that you do not prefer to sit at the bottom of the sea. Depending on the day; there are also things that are not written on the menu; be sure to check it out. Hours have passed since the meal; we are still talking about the beef brisket.
Without any taste how they are at the first rank!!!! We ate cafe Inn pizza. It was 70 tl.,Without any taste how they are at the first rank!!!! We ate cafe Inn pizza. It was 70 tl.,Without any taste how they are at the first rank!!!! We ate cafe Inn pizza. It was 70 tl.,Without any taste how they are at the first rank!!!! We ate cafe Inn pizza. It was 70 tl.
Pizza is delicious.. I can say it is one of the rare tastes. Prices are in the 200-300 range and one pizza is more than enough for two people if you are not very hungry. The scenery is already gorgeous.,Pizza is delicious.. I can say it is one of the rare tastes. Prices are in the 200-300 range and one pizza is more than enough for two people if you are not very hungry. The scenery is already gorgeous.,Pizza is delicious.. I can say it is one of the rare tastes. Prices are in the 200-300 range and one pizza is more than enough for two people if you are not very hungry. The scenery is already gorgeous.,Pizza is delicious.. I can say it is one of the rare tastes. Prices are in the 200-300 range and one pizza is more than enough for two people if you are not very hungry. The scenery is already gorgeous.
The vegan breakfast made me extremely happy. It was nice.,The vegan breakfast made me extremely happy. It was nice.,The vegan breakfast made me extremely happy. It was nice.,The vegan breakfast made me extremely happy. It was nice.
Whatever we ate was good. The Italian Restaurant is the first thing that comes to mind; apart from pizza and pasta; ciger yahni was successful; purslane salad; presentations are successful. Taste point in Datca.,Whatever we ate was good. The Italian Restaurant is the first thing that comes to mind; apart from pizza and pasta; ciger yahni was successful; purslane salad; presentations are successful. Taste point in Datca.,Whatever we ate was good. The Italian Restaurant is the first thing that comes to mind; apart from pizza and pasta; ciger yahni was successful; purslane salad; presentations are successful. Taste point in Datca.,Whatever we ate was good. The Italian Restaurant is the first thing that comes to mind; apart from pizza and pasta; ciger yahni was successful; purslane salad; presentations are successful. Taste point in Datca.
Very enjoyable beautiful place. Pizza salad food taste is great.,Very enjoyable beautiful place. Pizza salad food taste is great.,Very enjoyable beautiful place. Pizza salad food taste is great.,Very enjoyable beautiful place. Pizza salad food taste is great.
Its breakfast is more satisfying than the places around it.,Its breakfast is more satisfying than the places around it.,Its breakfast is more satisfying than the places around it.,Its breakfast is more satisfying than the places around it.
Nice intimate restaurant. Good service. Eye for detail. Clean. Really good food; well presented.,Nice intimate restaurant. Good service. Eye for detail. Clean. Really good food; well presented.,Nice intimate restaurant. Good service. Eye for detail. Clean. Really good food; well presented.,Nice intimate restaurant. Good service. Eye for detail. Clean. Really good food; well presented.
The food is delicious but a little pricey. The best Cappucino in Datça is here..,The food is delicious but a little pricey. The best Cappucino in <LOCATION_1> is here..,The food is delicious but a little pricey. The best Cappucino in Datça is here..,The food is delicious but a little pricey. The best Cappucino in <LOCATION_1> is here..
It's a very delicious; beautiful small business; but the appointment is a bit difficult to find; the pizzas are great Cafe Inn pizza and a wonderful 4 cheese and brownie as dessert. Thank you for your good wishes.,It's a very delicious; beautiful small business; but the appointment is a bit difficult to find; the pizzas are great Cafe Inn pizza and a wonderful 4 cheese and brownie as dessert. Thank you for your good wishes.,It's a very delicious; beautiful small business; but the appointment is a bit difficult to find; the pizzas are great Cafe Inn pizza and a wonderful 4 cheese and brownie as dessert. Thank you for your good wishes.,It's a very delicious; beautiful small business; but the appointment is a bit difficult to find; the pizzas are great Cafe Inn pizza and a wonderful 4 cheese and brownie as dessert. Thank you for your good wishes.
When I went; I waited for almost 20 minutes for the waiters to take care of me. The taste was not bad. The surrounding was beautiful.,When I went; I waited for almost 20 minutes for the waiters to take care of me. The taste was not bad. The surrounding was beautiful.,When I went; I waited for almost 20 minutes for the waiters to take care of me. The taste was not bad. The surrounding was beautiful.,When I went; I waited for almost 20 minutes for the waiters to take care of me. The taste was not bad. The surrounding was beautiful.
"It is a very, very expensive place. It took 30 minutes for 2 drinks to arrive.","It is a very, very expensive place. It took 30 minutes for 2 drinks to arrive.","It is a very, very expensive place. It took 30 minutes for 2 drinks to arrive.","It is a very, very expensive place. It took 30 minutes for 2 drinks to arrive."
I had the creamy chicken vegetable stew. It tasted excellent. It was quite satisfying. The environment is beautiful and spacious.,I had the creamy chicken vegetable stew. It tasted excellent. It was quite satisfying. The environment is beautiful and spacious.,I had the creamy chicken vegetable stew. It tasted excellent. It was quite satisfying. The environment is beautiful and spacious.,I had the creamy chicken vegetable stew. It tasted excellent. It was quite satisfying. The environment is beautiful and spacious.
quality service and rich menu. the attitude of the staff is really excellent. A business that deserves 5 stars.,quality service and rich menu. the attitude of the staff is really excellent. A business that deserves 5 stars.,quality service and rich menu. the attitude of the staff is really excellent. A business that deserves 5 stars.,quality service and rich menu. the attitude of the staff is really excellent. A business that deserves 5 stars.
The sushi was too small so it was not possible to taste the ingredients; the rice was overcooked and lacked flavor; it was missing except for the tail of the shrimp.,The sushi was too small so it was not possible to taste the ingredients; the rice was overcooked and lacked flavor; it was missing except for the tail of the shrimp.,The sushi was too small so it was not possible to taste the ingredients; the rice was overcooked and lacked flavor; it was missing except for the tail of the shrimp.,The sushi was too small so it was not possible to taste the ingredients; the rice was overcooked and lacked flavor; it was missing except for the tail of the shrimp.
The staff was very engaged. Service and taste were perfect.,The staff was very engaged. Service and taste were perfect.,The staff was very engaged. Service and taste were perfect.,The staff was very engaged. Service and taste were perfect.
Perfect location next to the sea. Music; light in the evening lounge atmosphere. In short; everything is beautiful.,Perfect location next to the sea. Music; light in the evening lounge atmosphere. In short; everything is beautiful.,Perfect location next to the sea. Music; light in the evening lounge atmosphere. In short; everything is beautiful.,Perfect location next to the sea. Music; light in the evening lounge atmosphere. In short; everything is beautiful.
"It was very expensive, but taste wasn't bad.","It was very expensive, but taste wasn't bad.","It was very expensive, but taste wasn't bad.","It was very expensive, but taste wasn't bad."
Good quality service; nice customer service; they are happy to help with a smile.,Good quality service; nice customer service; they are happy to help with a smile.,Good quality service; nice customer service; they are happy to help with a smile.,Good quality service; nice customer service; they are happy to help with a smile.
Scrambled eggs with casserole and toast waited 30 minutes. At 12:30pm the main menu was denied and showed only breakfast available. Prices are much higher than other places.,Scrambled eggs with casserole and toast waited 30 minutes. At 12:30pm the main menu was denied and showed only breakfast available. Prices are much higher than other places.,Scrambled eggs with casserole and toast waited 30 minutes. At 12:30pm the main menu was denied and showed only breakfast available. Prices are much higher than other places.,Scrambled eggs with casserole and toast waited 30 minutes. At 12:30pm the main menu was denied and showed only breakfast available. Prices are much higher than other places.
"Nice view, good staff, clean place and nice atmosphere.","Nice view, good staff, clean place and nice atmosphere.","Nice view, good staff, clean place and nice atmosphere.","Nice view, good staff, clean place and nice atmosphere."
Nice food and good service; located just near the beach as well.,Nice food and good service; located just near the beach as well.,Nice food and good service; located just near the beach as well.,Nice food and good service; located just near the beach as well.
It was very nice to be greeted with a smile when we first entered; we went with my wife; the services are very fast; the empty services are removed immediately; the washbasins were hygienic and clean; and I would recommend a very reasonable place.,It was very nice to be greeted with a smile when we first entered; we went with my wife; the services are very fast; the empty services are removed immediately; the washbasins were hygienic and clean; and I would recommend a very reasonable place.,It was very nice to be greeted with a smile when we first entered; we went with my wife; the services are very fast; the empty services are removed immediately; the washbasins were hygienic and clean; and I would recommend a very reasonable place.,It was very nice to be greeted with a smile when we first entered; we went with my wife; the services are very fast; the empty services are removed immediately; the washbasins were hygienic and clean; and I would recommend a very reasonable place.
Kebabs are good; trotters are good; desserts are good. Actually; the decor part of the atmosphere is good. Only a lot of noise comes from the kitchen part. Employees are smiling.,Kebabs are good; trotters are good; desserts are good. Actually; the decor part of the atmosphere is good. Only a lot of noise comes from the kitchen part. Employees are smiling.,Kebabs are good; trotters are good; desserts are good. Actually; the decor part of the atmosphere is good. Only a lot of noise comes from the kitchen part. Employees are smiling.,Kebabs are good; trotters are good; desserts are good. Actually; the decor part of the atmosphere is good. Only a lot of noise comes from the kitchen part. Employees are smiling.
If you come to Antep; sit down and taste the Beyran soup; served plain and with garlic.,If you come to Antep; sit down and taste the Beyran soup; served plain and with garlic.,If you come to Antep; sit down and taste the Beyran soup; served plain and with garlic.,If you come to Antep; sit down and taste the Beyran soup; served plain and with garlic.
I asked for garlic; but I had a hard time getting the taste of the meat from the garlic flavor. I'll try again with little or no garlic. Quite satisfying. I like the taste too; you should definitely try it.,I asked for garlic; but I had a hard time getting the taste of the meat from the garlic flavor. I'll try again with little or no garlic. Quite satisfying. I like the taste too; you should definitely try it.,I asked for garlic; but I had a hard time getting the taste of the meat from the garlic flavor. I'll try again with little or no garlic. Quite satisfying. I like the taste too; you should definitely try it.,I asked for garlic; but I had a hard time getting the taste of the meat from the garlic flavor. I'll try again with little or no garlic. Quite satisfying. I like the taste too; you should definitely try it.
Taste was amazing! Price was not high.,Taste was amazing! Price was not high.,Taste was amazing! Price was not high.,Taste was amazing! Price was not high.
When I ate it in the past; it tasted very good; I think the chef has changed. The atmosphere was average.,When I ate it in the past; it tasted very good; I think the chef has changed. The atmosphere was average.,When I ate it in the past; it tasted very good; I think the chef has changed. The atmosphere was average.,When I ate it in the past; it tasted very good; I think the chef has changed. The atmosphere was average.
We were very satisfied. I strongly recommend trying it. Delicious appetizers come with the meals.,We were very satisfied. I strongly recommend trying it. Delicious appetizers come with the meals.,We were very satisfied. I strongly recommend trying it. Delicious appetizers come with the meals.,We were very satisfied. I strongly recommend trying it. Delicious appetizers come with the meals.
The food tastes good. The atmosphere of the place was not very attractive.,The food tastes good. The atmosphere of the place was not very attractive.,The food tastes good. The atmosphere of the place was not very attractive.,The food tastes good. The atmosphere of the place was not very attractive.
We ate 1 mumbar and 1 kusleme and paid 310 TL. The meals were very tasty.,We ate 1 mumbar and 1 kusleme and paid 310 TL. The meals were very tasty.,We ate 1 mumbar and 1 kusleme and paid 310 TL. The meals were very tasty.,We ate 1 mumbar and 1 kusleme and paid 310 TL. The meals were very tasty.
Very cheap and delicious!,Very cheap and delicious!,Very cheap and delicious!,Very cheap and delicious!
Ayran came when the meal was over; the food was very bitter.,<PERSON_1> came when the meal was over; the food was very bitter.,Ayran came when the meal was over; the food was very bitter.,<PERSON_1> came when the meal was over; the food was very bitter.
Although the prices are a little high; the quality is high so it does not disappoint. The taste was very good; well done!,Although the prices are a little high; the quality is high so it does not disappoint. The taste was very good; well done!,Although the prices are a little high; the quality is high so it does not disappoint. The taste was very good; well done!,Although the prices are a little high; the quality is high so it does not disappoint. The taste was very good; well done!
We ordered Etli Ali Nazik Kebab. They said he was the most famous. We ate meat with yogurt. The food was cold.,We ordered <PERSON_2> Kebab. They said he was the most famous. We ate meat with yogurt. The food was cold.,We ordered Etli Ali Nazik Kebab. They said he was the most famous. We ate meat with yogurt. The food was cold.,We ordered <PERSON_2> Kebab. They said he was the most famous. We ate meat with yogurt. The food was cold.
We came because it is a very famous place. They had really delicious food.,We came because it is a very famous place. They had really delicious food.,We came because it is a very famous place. They had really delicious food.,We came because it is a very famous place. They had really delicious food.
Ali nazik was 240 tl lahmacun 50 tl even tea with a fee of 5 tl. We visited so many places; this was the most expensive.,Ali nazik was 240 tl lahmacun 50 tl even tea with a fee of 5 tl. We visited so many places; this was the most expensive.,Ali nazik was 240 tl lahmacun 50 tl even tea with a fee of 5 tl. We visited so many places; this was the most expensive.,Ali nazik was 240 tl lahmacun 50 tl even tea with a fee of 5 tl. We visited so many places; this was the most expensive.
The taste was very good but the prices were also very high.,The taste was very good but the prices were also very high.,The taste was very good but the prices were also very high.,The taste was very good but the prices were also very high.
Located in Gaziantep historical bazaar; the place stands out with its beautiful and spacious ambiance. I liked the place very much; we came for dessert after dinner.,Located in <LOCATION_2> historical bazaar; the place stands out with its beautiful and spacious ambiance. I liked the place very much; we came for dessert after dinner.,Located in Gaziantep historical bazaar; the place stands out with its beautiful and spacious ambiance. I liked the place very much; we came for dessert after dinner.,Located in <LOCATION_2> historical bazaar; the place stands out with its beautiful and spacious ambiance. I liked the place very much; we came for dessert after dinner.
I had the chance to taste many flavors; all of them were very good; I was amazed by Ali Nazik Kebab.,I had the chance to taste many flavors; all of them were very good; I was amazed by <PERSON_3> Kebab.,I had the chance to taste many flavors; all of them were very good; I was amazed by Ali Nazik Kebab.,I had the chance to taste many flavors; all of them were very good; I was amazed by <PERSON_3> Kebab.
The restaurant that made our four-day Gaziantep holiday poison! There is already excessive noise; it is impossible to hear the person next to you. The waiters are indifferent; the order takes too long to arrive.,The restaurant that made our four-day <LOCATION_2> holiday poison! There is already excessive noise; it is impossible to hear the person next to you. The waiters are indifferent; the order takes too long to arrive.,The restaurant that made our four-day Gaziantep holiday poison! There is already excessive noise; it is impossible to hear the person next to you. The waiters are indifferent; the order takes too long to arrive.,The restaurant that made our four-day <LOCATION_2> holiday poison! There is already excessive noise; it is impossible to hear the person next to you. The waiters are indifferent; the order takes too long to arrive.
"They sold us rotten pistachios, it sucks!","They sold us rotten pistachios, it sucks!","They sold us rotten pistachios, it sucks!","They sold us rotten pistachios, it sucks!"
I don't know why we ate here despite the exorbitant prices. A portion of kebab or sis meat product starts from 220 TL as of the end of June 2023. Naturally; you expect a good portion; but a tiny portion in the middle of the plate.,I don't know why we ate here despite the <IN_PAN_0> prices. A portion of kebab or sis meat product starts from 220 TL as of the end of <DATE_TIME_2> 2023. Naturally; you expect a good portion; but a tiny portion in the middle of the plate.,I don't know why we ate here despite the exorbitant prices. A portion of kebab or sis meat product starts from 220 TL as of the end of June 2023. Naturally; you expect a good portion; but a tiny portion in the middle of the plate.,I don't know why we ate here despite the <IN_PAN_0> prices. A portion of kebab or sis meat product starts from 220 TL as of the end of <DATE_TIME_2> 2023. Naturally; you expect a good portion; but a tiny portion in the middle of the plate.
"A great business that does not compromise on its taste; lahmacun, garlic kebab; yoghurt kebab; the smile of the waiters; everything is in place; thank you very much for the nice service and delicious food.","A great business that does not compromise on its taste; lahmacun, garlic kebab; yoghurt kebab; the smile of the waiters; everything is in place; thank you very much for the nice service and delicious food.","A great business that does not compromise on its taste; lahmacun, garlic kebab; yoghurt kebab; the smile of the waiters; everything is in place; thank you very much for the nice service and delicious food.","A great business that does not compromise on its taste; lahmacun, garlic kebab; yoghurt kebab; the smile of the waiters; everything is in place; thank you very much for the nice service and delicious food."
The breakfast was very good; I recommend it; the presentations were also eye-catching. We paid 240tl for the table you see in the photo; including 6 teas and 2 Turkish coffees.,The breakfast was very good; I recommend it; the presentations were also eye-catching. We paid 240tl for the table you see in the photo; including 6 teas and 2 Turkish coffees.,The breakfast was very good; I recommend it; the presentations were also eye-catching. We paid 240tl for the table you see in the photo; including 6 teas and 2 Turkish coffees.,The breakfast was very good; I recommend it; the presentations were also eye-catching. We paid 240tl for the table you see in the photo; including 6 teas and 2 Turkish coffees.
The place is beautiful. The staff was very nice. We asked for tiramisu. It was very fresh and beautiful.,The place is beautiful. The staff was very nice. We asked for tiramisu. It was very fresh and beautiful.,The place is beautiful. The staff was very nice. We asked for tiramisu. It was very fresh and beautiful.,The place is beautiful. The staff was very nice. We asked for tiramisu. It was very fresh and beautiful.
Beautiful place. The breakfast is said to be good. I had tea in the evening; it was delicious. It tastes like a samovar. The environment is calm. The music is jazz style; suitable for the calm and soft atmosphere.,Beautiful place. The breakfast is said to be good. I had tea in the evening; it was delicious. It tastes like a samovar. The environment is calm. The music is jazz style; suitable for the calm and soft atmosphere.,Beautiful place. The breakfast is said to be good. I had tea in the evening; it was delicious. It tastes like a samovar. The environment is calm. The music is jazz style; suitable for the calm and soft atmosphere.,Beautiful place. The breakfast is said to be good. I had tea in the evening; it was delicious. It tastes like a samovar. The environment is calm. The music is jazz style; suitable for the calm and soft atmosphere.
Hookah and ambiance is super!,Hookah and ambiance is super!,Hookah and ambiance is super!,**** and ambiance is super!
They have a problem with the service; but if you're going to drink tea; they do it well. Your tea is always hot over the fire.,They have a problem with the service; but if you're going to drink tea; they do it well. Your tea is always hot over the fire.,They have a problem with the service; but if you're going to drink tea; they do it well. Your tea is always hot over the fire.,They have a problem with the service; but if you're going to drink tea; they do it well. Your tea is always hot over the fire.
