text,rating,Anonymized_Text,Masked_Text,Classification_Result
The food was just like the ones my mother made. Prices were reasonable.,5,The food was just like the ones my mother made. Prices were reasonable.,The food was just like the ones my mother made. Prices were reasonable.,POSITIVE
The ambiance of the place is nice; when we went; there was a lot of queue; and after waiting for a while; they took our place. The friend who took our order said half a half pizza and we preferred half chicken and half steak. Two people were easily satisfied; a lot of patterns.,5,The ambiance of the place is nice; when we went; there was a lot of queue; and after waiting for a while; they took our place. The friend who took our order said half a half pizza and we preferred half chicken and half steak. Two people were easily satisfied; a lot of patterns.,The ambiance of the place is nice; when we went; there was a lot of queue; and after waiting for a while; they took our place. The friend who took our order said half a half pizza and we preferred half chicken and half steak. Two people were easily satisfied; a lot of patterns.,POSITIVE
"Flavor : It has nothing but dough taste. Labor : Not befitting a touristic place. Service : There was no wet wipes and napkins on the table, but there was no sympathetic family to say. This service and this taste were not available at this price.",2,"Flavor : It has nothing but dough taste. Labor : Not befitting a touristic place. Service : There was no wet wipes and napkins on the table, but there was no sympathetic family to say. This service and this taste were not available at this price.","Flavor : It has nothing but dough taste. Labor : Not befitting a touristic place. Service : There was no wet wipes and napkins on the table, but there was no sympathetic family to say. This service and this taste were not available at this price.",NEGATIVE
It is in the center; easy to reach; close to the parking lot; the prices are partially affordable; the products are delicious but not quite satisfying; the seating places are cramped; the place is a little flat.,4,It is in the center; easy to reach; close to the parking lot; the prices are partially affordable; the products are delicious but not quite satisfying; the seating places are cramped; the place is a little flat.,It is in the center; easy to reach; close to the parking lot; the prices are partially affordable; the products are delicious but not quite satisfying; the seating places are cramped; the place is a little flat.,NEGATIVE
They make delicious pizza with nice ingredients on thin dough. Slice pizza and all pizza options are available. You can try two different flavors as a whole by making two different choices for the whole pizza. We wanted the mushroom and sausage. It was very nice; warm; and it was cooked in its consistency without drying the ingredients.,5,They make delicious pizza with nice ingredients on thin dough. Slice pizza and all pizza options are available. You can try two different flavors as a whole by making two different choices for the whole pizza. We wanted the mushroom and sausage. It was very nice; warm; and it was cooked in its consistency without drying the ingredients.,They make delicious pizza with nice ingredients on thin dough. Slice pizza and all pizza options are available. You can try two different flavors as a whole by making two different choices for the whole pizza. We wanted the mushroom and sausage. It was very nice; warm; and it was cooked in its consistency without drying the ingredients.,POSITIVE
It's in a nice place but it's very small and their pizza is not that good to be exaggerated. Pizza dough is nice and thin. They do not offer advice to the customer.,3,It's in a nice place but it's very small and their pizza is not that good to be exaggerated. Pizza dough is nice and thin. They do not offer advice to the customer.,It's in a nice place but it's very small and their pizza is not that good to be exaggerated. Pizza dough is nice and thin. They do not offer advice to the customer.,NEGATIVE
I strongly recommend. If I come to the taste part; it was very enjoyable to eat with their special sauces. Also the whole pizza was huge.,5,I strongly recommend. If I come to the taste part; it was very enjoyable to eat with their special sauces. Also the whole pizza was huge.,I strongly recommend. If I come to the taste part; it was very enjoyable to eat with their special sauces. Also the whole pizza was huge.,POSITIVE
It is very tasty; similar to Italian pizzas. Roast beef and mohair 180 TL; other pizzas 150 TL. An adult male eats 6 slices; pizzas are one size and 8 slices.,4,It is very tasty; similar to Italian pizzas. Roast beef and mohair 180 TL; other pizzas 150 TL. An adult male eats 6 slices; pizzas are one size and 8 slices.,It is very tasty; similar to Italian pizzas. Roast beef and mohair 180 TL; other pizzas 150 TL. An adult male eats 6 slices; pizzas are one size and 8 slices.,POSITIVE
Do not come around Marmaris and do not leave without eating pizza at Pizza Fellas. We ate mixed pizza; they can make two types of pizza. So delicious!,5,Do not come around <LOCATION_0> and do not leave without eating pizza at Pizza Fellas. We ate mixed pizza; they can make two types of pizza. So delicious!,Do not come around <LOCATION_0> and do not leave without eating pizza at Pizza Fellas. We ate mixed pizza; they can make two types of pizza. So delicious!,POSITIVE
I never thought that the best pizza I've ever eaten would be in Akyaka. Thin pizzas are very tasty and the options are very good. We recommend it to everyone who comes to Akyaka.,5,I never thought that the best pizza I've ever eaten would be in <LOCATION_1>. Thin pizzas are very tasty and the options are very good. We recommend it to everyone who comes to <LOCATION_1>.,I never thought that the best pizza I've ever eaten would be in <LOCATION_1>. Thin pizzas are very tasty and the options are very good. We recommend it to everyone who comes to <LOCATION_1>.,POSITIVE
It was as if a very delicious Italian chef had come out of his hands. You can eat with pleasure. The owners are very good people. I recommend.,4,It was as if a very delicious Italian chef had come out of his hands. You can eat with pleasure. The owners are very good people. I recommend.,It was as if a very delicious Italian chef had come out of his hands. You can eat with pleasure. The owners are very good people. I recommend.,POSITIVE
The pizza is big enough for 2 people. The dough is very thin. Price is between 120-140 TL.,4,The pizza is big enough for 2 people. The dough is very thin. Price is between 120-140 TL.,The pizza is big enough for 2 people. The dough is very thin. Price is between 120-140 TL.,NEGATIVE
The environment; the interest and friendliness of the employees; the taste is incredible. It is so beautiful inside that you do not prefer to sit at the bottom of the sea. Depending on the day; there are also things that are not written on the menu; be sure to check it out. Hours have passed since the meal; we are still talking about the beef brisket.,5,The environment; the interest and friendliness of the employees; the taste is incredible. It is so beautiful inside that you do not prefer to sit at the bottom of the sea. Depending on the day; there are also things that are not written on the menu; be sure to check it out. Hours have passed since the meal; we are still talking about the beef brisket.,The environment; the interest and friendliness of the employees; the taste is incredible. It is so beautiful inside that you do not prefer to sit at the bottom of the sea. Depending on the day; there are also things that are not written on the menu; be sure to check it out. Hours have passed since the meal; we are still talking about the beef brisket.,POSITIVE
Without any taste how they are at the first rank!!!! We ate cafe Inn pizza. It was 70 tl.,1,Without any taste how they are at the first rank!!!! We ate cafe Inn pizza. It was 70 tl.,Without any taste how they are at the first rank!!!! We ate cafe Inn pizza. It was 70 tl.,NEGATIVE
Pizza is delicious.. I can say it is one of the rare tastes. Prices are in the 200-300 range and one pizza is more than enough for two people if you are not very hungry. The scenery is already gorgeous.,5,Pizza is delicious.. I can say it is one of the rare tastes. Prices are in the 200-300 range and one pizza is more than enough for two people if you are not very hungry. The scenery is already gorgeous.,Pizza is delicious.. I can say it is one of the rare tastes. Prices are in the 200-300 range and one pizza is more than enough for two people if you are not very hungry. The scenery is already gorgeous.,POSITIVE
The vegan breakfast made me extremely happy. It was nice.,4,The vegan breakfast made me extremely happy. It was nice.,The vegan breakfast made me extremely happy. It was nice.,POSITIVE
Whatever we ate was good. The Italian Restaurant is the first thing that comes to mind; apart from pizza and pasta; ciger yahni was successful; purslane salad; presentations are successful. Taste point in Datca.,5,Whatever we ate was good. The Italian Restaurant is the first thing that comes to mind; apart from pizza and pasta; ciger yahni was successful; purslane salad; presentations are successful. Taste point in <LOCATION_2>.,Whatever we ate was good. The Italian Restaurant is the first thing that comes to mind; apart from pizza and pasta; ciger yahni was successful; purslane salad; presentations are successful. Taste point in <LOCATION_2>.,POSITIVE
Very enjoyable beautiful place. Pizza salad food taste is great.,5,Very enjoyable beautiful place. Pizza salad food taste is great.,Very enjoyable beautiful place. Pizza salad food taste is great.,POSITIVE
Its breakfast is more satisfying than the places around it.,4,Its breakfast is more satisfying than the places around it.,Its breakfast is more satisfying than the places around it.,POSITIVE
Nice intimate restaurant. Good service. Eye for detail. Clean. Really good food; well presented.,5,Nice intimate restaurant. Good service. Eye for detail. Clean. Really good food; well presented.,Nice intimate restaurant. Good service. Eye for detail. Clean. Really good food; well presented.,POSITIVE
The food is delicious but a little pricey. The best Cappucino in Datça is here..,3,The food is delicious but a little pricey. The best Cappucino in <LOCATION_3> is here..,The food is delicious but a little pricey. The best Cappucino in <LOCATION_3> is here..,POSITIVE
It's a very delicious; beautiful small business; but the appointment is a bit difficult to find; the pizzas are great Cafe Inn pizza and a wonderful 4 cheese and brownie as dessert. Thank you for your good wishes.,5,It's a very delicious; beautiful small business; but the appointment is a bit difficult to find; the pizzas are great Cafe Inn pizza and a wonderful 4 cheese and brownie as dessert. Thank you for your good wishes.,It's a very delicious; beautiful small business; but the appointment is a bit difficult to find; the pizzas are great Cafe Inn pizza and a wonderful 4 cheese and brownie as dessert. Thank you for your good wishes.,POSITIVE
When I went; I waited for almost 20 minutes for the waiters to take care of me. The taste was not bad. The surrounding was beautiful.,2,When I went; I waited for almost 20 minutes for the waiters to take care of me. The taste was not bad. The surrounding was beautiful.,When I went; I waited for almost 20 minutes for the waiters to take care of me. The taste was not bad. The surrounding was beautiful.,POSITIVE
"It is a very, very expensive place. It took 30 minutes for 2 drinks to arrive.",3,"It is a very, very expensive place. It took 30 minutes for 2 drinks to arrive.","It is a very, very expensive place. It took 30 minutes for 2 drinks to arrive.",NEGATIVE
I had the creamy chicken vegetable stew. It tasted excellent. It was quite satisfying. The environment is beautiful and spacious.,5,I had the creamy chicken vegetable stew. It tasted excellent. It was quite satisfying. The environment is beautiful and spacious.,I had the creamy chicken vegetable stew. It tasted excellent. It was quite satisfying. The environment is beautiful and spacious.,POSITIVE
quality service and rich menu. the attitude of the staff is really excellent. A business that deserves 5 stars.,5,quality service and rich menu. the attitude of the staff is really excellent. A business that deserves 5 stars.,quality service and rich menu. the attitude of the staff is really excellent. A business that deserves 5 stars.,POSITIVE
The sushi was too small so it was not possible to taste the ingredients; the rice was overcooked and lacked flavor; it was missing except for the tail of the shrimp.,2,The sushi was too small so it was not possible to taste the ingredients; the rice was overcooked and lacked flavor; it was missing except for the tail of the shrimp.,The sushi was too small so it was not possible to taste the ingredients; the rice was overcooked and lacked flavor; it was missing except for the tail of the shrimp.,NEGATIVE
The staff was very engaged. Service and taste were perfect.,4,The staff was very engaged. Service and taste were perfect.,The staff was very engaged. Service and taste were perfect.,POSITIVE
Perfect location next to the sea. Music; light in the evening lounge atmosphere. In short; everything is beautiful.,4,Perfect location next to the sea. Music; light in the evening lounge atmosphere. In short; everything is beautiful.,Perfect location next to the sea. Music; light in the evening lounge atmosphere. In short; everything is beautiful.,POSITIVE
"It was very expensive, but taste wasn't bad.",2,"It was very expensive, but taste wasn't bad.","It was very expensive, but taste wasn't bad.",POSITIVE
Good quality service; nice customer service; they are happy to help with a smile.,5,Good quality service; nice customer service; they are happy to help with a smile.,Good quality service; nice customer service; they are happy to help with a smile.,POSITIVE
Scrambled eggs with casserole and toast waited 30 minutes. At 12:30pm the main menu was denied and showed only breakfast available. Prices are much higher than other places.,2,Scrambled eggs with casserole and toast waited 30 minutes. At 12:30pm the main menu was denied and showed only breakfast available. Prices are much higher than other places.,Scrambled eggs with casserole and toast waited 30 minutes. At 12:30pm the main menu was denied and showed only breakfast available. Prices are much higher than other places.,NEGATIVE
"Nice view, good staff, clean place and nice atmosphere.",3,"Nice view, good staff, clean place and nice atmosphere.","Nice view, good staff, clean place and nice atmosphere.",POSITIVE
Nice food and good service; located just near the beach as well.,5,Nice food and good service; located just near the beach as well.,Nice food and good service; located just near the beach as well.,POSITIVE
It was very nice to be greeted with a smile when we first entered; we went with my wife; the services are very fast; the empty services are removed immediately; the washbasins were hygienic and clean; and I would recommend a very reasonable place.,4,It was very nice to be greeted with a smile when we first entered; we went with my wife; the services are very fast; the empty services are removed immediately; the washbasins were hygienic and clean; and I would recommend a very reasonable place.,It was very nice to be greeted with a smile when we first entered; we went with my wife; the services are very fast; the empty services are removed immediately; the washbasins were hygienic and clean; and I would recommend a very reasonable place.,POSITIVE
Kebabs are good; trotters are good; desserts are good. Actually; the decor part of the atmosphere is good. Only a lot of noise comes from the kitchen part. Employees are smiling.,4,Kebabs are good; trotters are good; desserts are good. Actually; the decor part of the atmosphere is good. Only a lot of noise comes from the kitchen part. Employees are smiling.,Kebabs are good; trotters are good; desserts are good. Actually; the decor part of the atmosphere is good. Only a lot of noise comes from the kitchen part. Employees are smiling.,POSITIVE
If you come to Antep; sit down and taste the Beyran soup; served plain and with garlic.,5,If you come to Antep; sit down and taste the Beyran soup; served plain and with garlic.,If you come to Antep; sit down and taste the Beyran soup; served plain and with garlic.,POSITIVE
I asked for garlic; but I had a hard time getting the taste of the meat from the garlic flavor. I'll try again with little or no garlic. Quite satisfying. I like the taste too; you should definitely try it.,4,I asked for garlic; but I had a hard time getting the taste of the meat from the garlic flavor. I'll try again with little or no garlic. Quite satisfying. I like the taste too; you should definitely try it.,I asked for garlic; but I had a hard time getting the taste of the meat from the garlic flavor. I'll try again with little or no garlic. Quite satisfying. I like the taste too; you should definitely try it.,POSITIVE
Taste was amazing! Price was not high.,4,Taste was amazing! Price was not high.,Taste was amazing! Price was not high.,POSITIVE
When I ate it in the past; it tasted very good; I think the chef has changed. The atmosphere was average.,2,When I ate it in the past; it tasted very good; I think the chef has changed. The atmosphere was average.,When I ate it in the past; it tasted very good; I think the chef has changed. The atmosphere was average.,POSITIVE
We were very satisfied. I strongly recommend trying it. Delicious appetizers come with the meals.,5,We were very satisfied. I strongly recommend trying it. Delicious appetizers come with the meals.,We were very satisfied. I strongly recommend trying it. Delicious appetizers come with the meals.,POSITIVE
The food tastes good. The atmosphere of the place was not very attractive.,3,The food tastes good. The atmosphere of the place was not very attractive.,The food tastes good. The atmosphere of the place was not very attractive.,NEGATIVE
We ate 1 mumbar and 1 kusleme and paid 310 TL. The meals were very tasty.,4,We ate 1 mumbar and 1 kusleme and paid 310 TL. The meals were very tasty.,We ate 1 mumbar and 1 kusleme and paid 310 TL. The meals were very tasty.,POSITIVE
Very cheap and delicious!,5,Very cheap and delicious!,Very cheap and delicious!,POSITIVE
Ayran came when the meal was over; the food was very bitter.,5,<PERSON_0> came when the meal was over; the food was very bitter.,<PERSON_0> came when the meal was over; the food was very bitter.,NEGATIVE
Although the prices are a little high; the quality is high so it does not disappoint. The taste was very good; well done!,5,Although the prices are a little high; the quality is high so it does not disappoint. The taste was very good; well done!,Although the prices are a little high; the quality is high so it does not disappoint. The taste was very good; well done!,POSITIVE
We ordered Etli Ali Nazik Kebab. They said he was the most famous. We ate meat with yogurt. The food was cold.,2,We ordered <PERSON_1>. They said he was the most famous. We ate meat with yogurt. The food was cold.,We ordered <PERSON_1>. They said he was the most famous. We ate meat with yogurt. The food was cold.,NEGATIVE
We came because it is a very famous place. They had really delicious food.,4,We came because it is a very famous place. They had really delicious food.,We came because it is a very famous place. They had really delicious food.,POSITIVE
Ali nazik was 240 tl lahmacun 50 tl even tea with a fee of 5 tl. We visited so many places; this was the most expensive.,3,Ali nazik was 240 tl lahmacun 50 tl even tea with a fee of 5 tl. We visited so many places; this was the most expensive.,Ali nazik was 240 tl lahmacun 50 tl even tea with a fee of 5 tl. We visited so many places; this was the most expensive.,POSITIVE
The taste was very good but the prices were also very high.,5,The taste was very good but the prices were also very high.,The taste was very good but the prices were also very high.,POSITIVE
Located in Gaziantep historical bazaar; the place stands out with its beautiful and spacious ambiance. I liked the place very much; we came for dessert after dinner.,5,Located in <LOCATION_4> historical bazaar; the place stands out with its beautiful and spacious ambiance. I liked the place very much; we came for dessert after dinner.,Located in <LOCATION_4> historical bazaar; the place stands out with its beautiful and spacious ambiance. I liked the place very much; we came for dessert after dinner.,POSITIVE
I had the chance to taste many flavors; all of them were very good; I was amazed by Ali Nazik Kebab.,5,I had the chance to taste many flavors; all of them were very good; I was amazed by <PERSON_2>.,I had the chance to taste many flavors; all of them were very good; I was amazed by <PERSON_2>.,POSITIVE
The restaurant that made our four-day Gaziantep holiday poison! There is already excessive noise; it is impossible to hear the person next to you. The waiters are indifferent; the order takes too long to arrive.,1,The restaurant that made our four-day <LOCATION_4> holiday poison! There is already excessive noise; it is impossible to hear the person next to you. The waiters are indifferent; the order takes too long to arrive.,The restaurant that made our four-day <LOCATION_4> holiday poison! There is already excessive noise; it is impossible to hear the person next to you. The waiters are indifferent; the order takes too long to arrive.,NEGATIVE
"They sold us rotten pistachios, it sucks!",1,"They sold us rotten pistachios, it sucks!","They sold us rotten pistachios, it sucks!",NEGATIVE
I don't know why we ate here despite the exorbitant prices. A portion of kebab or sis meat product starts from 220 TL as of the end of June 2023. Naturally; you expect a good portion; but a tiny portion in the middle of the plate.,2,I don't know why we ate here despite the <IN_PAN_0> prices. A portion of kebab or sis meat product starts from 220 TL as of the end of <DATE_TIME_1>. Naturally; you expect a good portion; but a tiny portion in the middle of the plate.,I don't know why we ate here despite the <IN_PAN_0> prices. A portion of kebab or sis meat product starts from 220 TL as of the end of <DATE_TIME_1>. Naturally; you expect a good portion; but a tiny portion in the middle of the plate.,NEGATIVE
"A great business that does not compromise on its taste; lahmacun, garlic kebab; yoghurt kebab; the smile of the waiters; everything is in place; thank you very much for the nice service and delicious food.",5,"A great business that does not compromise on its taste; lahmacun, garlic kebab; yoghurt kebab; the smile of the waiters; everything is in place; thank you very much for the nice service and delicious food.","A great business that does not compromise on its taste; lahmacun, garlic kebab; yoghurt kebab; the smile of the waiters; everything is in place; thank you very much for the nice service and delicious food.",POSITIVE
The breakfast was very good; I recommend it; the presentations were also eye-catching. We paid 240tl for the table you see in the photo; including 6 teas and 2 Turkish coffees.,5,The breakfast was very good; I recommend it; the presentations were also eye-catching. We paid 240tl for the table you see in the photo; including 6 teas and 2 Turkish coffees.,The breakfast was very good; I recommend it; the presentations were also eye-catching. We paid 240tl for the table you see in the photo; including 6 teas and 2 Turkish coffees.,POSITIVE
The place is beautiful. The staff was very nice. We asked for tiramisu. It was very fresh and beautiful.,4,The place is beautiful. The staff was very nice. We asked for tiramisu. It was very fresh and beautiful.,The place is beautiful. The staff was very nice. We asked for tiramisu. It was very fresh and beautiful.,POSITIVE
Beautiful place. The breakfast is said to be good. I had tea in the evening; it was delicious. It tastes like a samovar. The environment is calm. The music is jazz style; suitable for the calm and soft atmosphere.,5,Beautiful place. The breakfast is said to be good. I had tea in the evening; it was delicious. It tastes like a samovar. The environment is calm. The music is jazz style; suitable for the calm and soft atmosphere.,Beautiful place. The breakfast is said to be good. I had tea in the evening; it was delicious. It tastes like a samovar. The environment is calm. The music is jazz style; suitable for the calm and soft atmosphere.,POSITIVE
Hookah and ambiance is super!,5,Hookah and ambiance is super!,**** and ambiance is super!,POSITIVE
They have a problem with the service; but if you're going to drink tea; they do it well. Your tea is always hot over the fire.,3,They have a problem with the service; but if you're going to drink tea; they do it well. Your tea is always hot over the fire.,They have a problem with the service; but if you're going to drink tea; they do it well. Your tea is always hot over the fire.,POSITIVE
Some of the coffee I wanted came spilled; the coffee tasted dry. Also; my wife's order was wrong.,1,Some of the coffee I wanted came spilled; the coffee tasted dry. Also; my wife's order was wrong.,Some of the coffee I wanted came spilled; the coffee tasted dry. Also; my wife's order was wrong.,NEGATIVE
Great.,4,Great.,Great.,POSITIVE
Lovely; affordable seafront spot to while away the afternoon smoking nargile and playing backgammon (tavla). Super hospitable employees and enjoyable ambience.,5,Lovely; affordable seafront spot to while away the afternoon smoking nargile and playing backgammon (tavla). Super hospitable employees and enjoyable ambience.,Lovely; affordable seafront spot to while away the afternoon smoking nargile and playing backgammon (tavla). Super hospitable employees and enjoyable ambience.,POSITIVE
A cheap and delicious place. If you are passing by; you should not continue without having a cup of tea.,4,A cheap and delicious place. If you are passing by; you should not continue without having a cup of tea.,A cheap and delicious place. If you are passing by; you should not continue without having a cup of tea.,POSITIVE
Seaside great view!,5,Seaside great view!,Seaside great view!,POSITIVE
Prices are nice,4,Prices are nice,Prices are nice,POSITIVE
Bitter; mango; Bodrum tangerine; honey almond; Big Babas; mastic gum; walnut; blackberry and forest fruit definitely recommend..,5,Bitter; mango; Bodrum tangerine; honey almond; Big Babas; mastic gum; walnut; blackberry and forest fruit definitely recommend..,Bitter; mango; Bodrum tangerine; honey almond; Big Babas; mastic gum; walnut; blackberry and forest fruit definitely recommend..,POSITIVE
The prices are cheap from the center; the ice cream is legendary; don't miss out; it's worth waiting in line; it's the best ice cream shop in Fethiye. Real milk ice cream,5,The prices are cheap from the center; the ice cream is legendary; don't miss out; it's worth waiting in line; it's the best ice cream shop in <LOCATION_5>. Real milk ice cream,The prices are cheap from the center; the ice cream is legendary; don't miss out; it's worth waiting in line; it's the best ice cream shop in <LOCATION_5>. Real milk ice cream,POSITIVE
Absolutely perfect come try it..,5,Absolutely perfect come try it..,Absolutely perfect come try it..,POSITIVE
Terrible. This is a lie. This is not ice cream! This gum is an ice cream substitute.,1,Terrible. This is a lie. This is not ice cream! This gum is an ice cream substitute.,Terrible. This is a lie. This is not ice cream! This gum is an ice cream substitute.,NEGATIVE
As I was crossing the road; I noticed that we stopped. The light ad is very good because everything has ice cream icons. The only normal price I've seen in Fethiye is 6 TL.,4,As I was crossing the road; I noticed that we stopped. The light ad is very good because everything has ice cream icons. The only normal price I've seen in <LOCATION_5> is 6 TL.,As I was crossing the road; I noticed that we stopped. The light ad is very good because everything has ice cream icons. The only normal price I've seen in <LOCATION_5> is 6 TL.,POSITIVE
The atmosphere of the place was nice; if you want to taste the ice creams; I can say that it is an ordinary ice cream that you can eat anywhere.,3,The atmosphere of the place was nice; if you want to taste the ice creams; I can say that it is an ordinary ice cream that you can eat anywhere.,The atmosphere of the place was nice; if you want to taste the ice creams; I can say that it is an ordinary ice cream that you can eat anywhere.,POSITIVE
It literally gave me the feeling of chewing sugar. It's not even about ice cream.,2,It literally gave me the feeling of chewing sugar. It's not even about ice cream.,It literally gave me the feeling of chewing sugar. It's not even about ice cream.,NEGATIVE
We visited with my friends. The lemon one was great!,4,We visited with my friends. The lemon one was great!,We visited with my friends. The lemon one was great!,POSITIVE
A great taste. I went on recommendation; it was really true. I also recommend it to you.,5,A great taste. I went on recommendation; it was really true. I also recommend it to you.,A great taste. I went on recommendation; it was really true. I also recommend it to you.,POSITIVE
Their prices are very reasonable and their ice creams are delicious. There is not only ice cream but also dessert sales inside. There are many options for ice cream; which is a very nice detail.,5,Their prices are very reasonable and their ice creams are delicious. There is not only ice cream but also dessert sales inside. There are many options for ice cream; which is a very nice detail.,Their prices are very reasonable and their ice creams are delicious. There is not only ice cream but also dessert sales inside. There are many options for ice cream; which is a very nice detail.,POSITIVE
On the way to the city center of Fethiye; a sweet place caught our attention. The ice cream cone-shaped totem on the road was very original.,4,On the way to the city center of <LOCATION_5>; a sweet place caught our attention. The ice cream cone-shaped totem on the road was very original.,On the way to the city center of <LOCATION_5>; a sweet place caught our attention. The ice cream cone-shaped totem on the road was very original.,POSITIVE
The hamburger bread was very nice. I didn't like his meatballs very much.Orders are coming out very quickly; and the working friends are very kind; thank you.,4,The hamburger bread was very nice. I didn't like his meatballs very much.Orders are coming out very quickly; and the working friends are very kind; thank you.,The hamburger bread was very nice. I didn't like his meatballs very much.Orders are coming out very quickly; and the working friends are very kind; thank you.,POSITIVE
